country population partnerships

Europe/Belgium 8387000 Alliance
Europe/Romania 15970000 Axis
Europe/Germany 87755281 Axis
Asia/JapanEmp 304119000 Axis
Europe/ItalyEmp 56532624 Axis
Europe/Hungary 9129000 Axis
Europe/SlovakRepublic 3577000 Axis
Europe/Bulgaria 6458000 Axis
Europe/Yugoslavia 15490000 Axis
Europe/Croatia Axis 23270000 Axis
Europe/Finland 3700000  Axis
Asia/Iraq 3698000 Axis
Asia/Thailand 15850000 Axis
Africa/Algeria 5900000  Axis
Africa/Tunisia 24200000 Axis
Africa/Morocco 3628000  Axis
