Country,TotalPopulation,MilitaryDeaths,CivilianDeathsDueMilitaryActivity,CivilianDeathsDueFamineDisease,TotalDeaths,MilitaryWounded
Belgium,8387000,12000,76000,0,88000,55513
Canada,11267000,42000,1600,0,43600,53174
Czechoslovakia,14612000,46000,320000,0,355000,8017
France,41680000,210000,390000,0,600000,390000
Germany,69300000,5318000,3000000,0,7400000,7300000
Italy,44394000,341000,153200,0,514000,320000
Japan,71380000,2300000,800000,0,3100000,326000
Netherland,8729000,6700,187300,16000,210000,2860
Poland,34849000,240000,5820000,0,6000000,766606
Soviet Union,188793000,11400000,10000000,9000000,27000000,14685593
United Kingdom,47760000,383700,67200,0,450900,376239
United States,131028000,407300,12100,0,419400,671801
